dba_name,license_#,facility_type,address,city,state,zip
GLOBAL KITCHEN,2240854,Restaurant,11718-11722 S WESTERN AVE ,CHICAGO,IL,60643.0
HARRY'S SANDWICH SHOP,17432,Restaurant,336 S DEARBORN ST ,CHICAGO,IL,60604.0
"NONNA SOLURI'S ITALIAN DELI, INC.",2528417,Restaurant,3142 S MORGAN ST ,CHICAGO,IL,60608.0
"MANOLOS TAMALES, INC. #1",1873308,Restaurant,5341 S KEDZIE AVE ,CHICAGO,IL,60632.0
HARRYS FOOD INC,2523275,Restaurant,336 S DEARBORN ST ,CHICAGO,IL,60604.0
LUELLA'S SOUTHERN KITCHEN LLC,2378918,Restaurant,4609 N LINCOLN AVE ,CHICAGO,IL,60625.0
HQ HOWARD QUINTERO,2362994,Restaurant,4114 N KEDZIE AVE ,CHICAGO,IL,60618.0
SUBWAY,2221641,Restaurant,3205 W 63RD ST ,CHICAGO,IL,60629.0
TACOS DON CUCO,1491578,Restaurant,1847 W 47TH ST ,CHICAGO,IL,60609.0
SILVER'S SEAFOOD RESTAURANT,1144034,Restaurant,4829 N BROADWAY ,CHICAGO,IL,60640.0
HERO COFFEE BAR,2506855,Restaurant,1912 N WESTERN AVE ,CHICAGO,IL,60647.0
SUBLIME SUSHI,2089159,Restaurant,2009 N DAMEN AVE ,CHICAGO,IL,60647.0
"A 87 CAFE AND RESTAURANT,CORP",2535691,Restaurant,4393 N ELSTON ,,IL,60641.0
ANTOJITOS MAJICOS,2245426,Restaurant,3540 W LAWRENCE AVE ,CHICAGO,IL,60625.0
DUNKIN DONUTS,1803815,Restaurant,4453 S ARCHER AVE ,CHICAGO,IL,60632.0
DUNKIN DONUTS,2536562,Restaurant,4755 N KIMBALL AVE ,CHICAGO,IL,60625.0
KITCHEN 17,2529850,Restaurant,3132 N BROADWAY ,CHICAGO,IL,60657.0
SEE THRU CHINESE,1738553,Restaurant,7118 S WESTERN AVE ,CHICAGO,IL,60636.0
"CHICAGO'S GRILL FISH, CHICKEN",2368860,Restaurant,5607 S RACINE AVE ,CHICAGO,IL,60636.0
MINGHIN CUISINE RIVERNORTH,2412108,Restaurant,215 E GRAND AVE ,CHICAGO,IL,60611.0
MINGHIN CUISINE RIVERNORTH,2412107,Restaurant,215 E GRAND AVE ,CHICAGO,IL,60611.0
SUMMER HOUSE (T2 MAIN),34183,Restaurant,11601 W TOUHY AVE ,CHICAGO,IL,60666.0
LALIBELA RESTAURANT,1883833,Restaurant,5633-5635 N ASHLAND AVE ,CHICAGO,IL,60660.0
NANO SUSHI,2146568,Restaurant,3955 N BROADWAY ,CHICAGO,IL,60613.0
"RICE AND ROLL, INC",2016897,Restaurant,3312 W Foster AVE ,CHICAGO,IL,60625.0
GROTA RESTAURANT,6753,Restaurant,3108-3112 N CENTRAL AVE ,CHICAGO,IL,60634.0
MARTINI CLUB AT MANOR BOWLING & BILLIARD,1270793,Restaurant,3124 N CENTRAL AVE ,CHICAGO,IL,60634.0
HERO COFFEE,2535858,Restaurant,1912 N WESTERN AVE ,CHICAGO,IL,60647.0
DOS URBAN CANTINA,2397621,Restaurant,2829-2831 W ARMITAGE AVE ,CHICAGO,IL,60647.0
MR SUBMARINE,15630,Restaurant,5212 N LINCOLN AVE ,CHICAGO,IL,60625.0
